text,amount,category
grabfood untuk Steam,88210,Makan
cek lab di Alfamart,138290,Kesehatan
taksol di Grab,28555,Transport
nongkrong di Alfamart,52276,Hiburan
bensin di Klinik,152304,Transport
pulsa pascabayar di Apotek K24,610877,Tagihan
dokter di PDAM,274067,Kesehatan
kursus di Telkomsel,339623,Pendidikan
internet PLN,83413,Tagihan
taksol untuk Telkomsel,64317,Transport
suplemen via Klinik,168861,Kesehatan
sewa Netflix,565201,Tagihan
grabfood Tokopedia,16025,Makan
restoran di Grab,107447,Makan
nasi goreng untuk Netflix,56906,Makan
buku Apotek K24,808485,Pendidikan
air via Apotek K24,710239,Tagihan
rumah sakit di Tokopedia,202299,Kesehatan
restoran di Telkomsel,20125,Makan
kopi susu XL,43346,Makan
gojek di XL,109993,Transport
mrt di Shopee,25463,Transport
sertifikasi via PDAM,321889,Pendidikan
game Shopee,223572,Hiburan
parkir untuk PLN,14502,Transport
bioskop di PDAM,397673,Hiburan
topup via Tokopedia,223010,Hiburan
buku Apotek K24,118223,Pendidikan
taksol untuk Klinik,135379,Transport
suplemen Grab,298673,Kesehatan
sertifikasi via Indomaret,386393,Pendidikan
bpjs di Klinik,749576,Tagihan
kelas di Indomaret,884836,Pendidikan
tagihan untuk Netflix,725974,Tagihan
grab untuk Klinik,103754,Transport
shopee untuk Telkomsel,416670,Belanja
sepatu via Gojek,484243,Belanja
krl Apotek K24,50738,Transport
alat rumah via Netflix,439663,Belanja
air via Apotek K24,744554,Tagihan
indomaret di XL,417525,Belanja
bioskop Shopee,299976,Hiburan
pertalite Telkomsel,179975,Transport
cicilan Gojek,87047,Tagihan
fitness Indomaret,147549,Kesehatan
netflix untuk Grab,176652,Hiburan
pdam di PLN,582654,Tagihan
sewa di Shopee,635784,Tagihan
shopee XL,189282,Belanja
dicoding via Tokopedia,803819,Pendidikan
mrt Indomaret,190149,Transport
baju di Netflix,302117,Belanja
ayam geprek Steam,17755,Makan
makan siang untuk PDAM,35164,Makan
grabfood untuk PDAM,94041,Makan
spotify via Steam,253819,Hiburan
kelas via Telkomsel,266265,Pendidikan
pln untuk Tokopedia,630532,Tagihan
grabfood via Tokopedia,107158,Makan
grab Apotek K24,132994,Transport
concert via Telkomsel,314933,Hiburan
dokter di PLN,243081,Kesehatan
taksol Grab,139212,Transport
nongkrong Gojek,303341,Hiburan
alat rumah untuk Shopee,44537,Belanja
voucher game untuk PDAM,68482,Hiburan
bpjs untuk Shopee,71159,Tagihan
vitamin Gojek,165288,Kesehatan
voucher game via XL,221117,Hiburan
alfamart PLN,79044,Belanja
minimarket Shopee,205978,Belanja
workshop untuk Apotek K24,675534,Pendidikan
restoran Shopee,117686,Makan
fitness di XL,549832,Kesehatan
spotify untuk Tokopedia,104863,Hiburan
modul untuk Steam,110630,Pendidikan
makan siang via Klinik,76919,Makan
ayam geprek untuk PLN,68255,Makan
seminar via Apotek K24,494763,Pendidikan
taksol Indomaret,56764,Transport
masker untuk Netflix,365040,Kesehatan
steam via Netflix,318276,Hiburan
steam untuk Gojek,350454,Hiburan
vitamin di PLN,482106,Kesehatan
masker via XL,510350,Kesehatan
sepatu Telkomsel,271251,Belanja
alat rumah di PDAM,208271,Belanja
makan siang untuk PDAM,99589,Makan
game Shopee,360351,Hiburan
grabfood Klinik,90229,Makan
pulsa untuk Tokopedia,74709,Belanja
bpjs untuk Alfamart,652423,Tagihan
kafe di Indomaret,96088,Hiburan
spotify di Alfamart,89717,Hiburan
pulsa pascabayar untuk Indomaret,214410,Tagihan
rumah sakit di XL,348899,Kesehatan
tokopedia di Klinik,481768,Belanja
buku di Netflix,437120,Pendidikan
listrik Apotek K24,336270,Tagihan
warteg di Gojek,38969,Makan
sewa di XL,412728,Tagihan
fitness untuk Netflix,491991,Kesehatan
makan siang untuk Grab,82513,Makan
ojek via XL,80493,Transport
grabfood Netflix,36535,Makan
nasi goreng Shopee,48751,Makan
bioskop untuk Alfamart,173235,Hiburan
sewa untuk Netflix,556767,Tagihan
pln PLN,292200,Tagihan
sepatu di Tokopedia,477071,Belanja
fitness untuk Gojek,196234,Kesehatan
indomaret via PDAM,83137,Belanja
elektronik Grab,166253,Belanja
bakso di PLN,87186,Makan
krl via Gojek,188892,Transport
grab via PDAM,163771,Transport
mrt Steam,32441,Transport
bpjs di Apotek K24,572789,Tagihan
kelas di Gojek,167672,Pendidikan
kursus Apotek K24,880266,Pendidikan
grabfood di Shopee,32260,Makan
restoran untuk Netflix,73343,Makan
dokter via Tokopedia,186456,Kesehatan
elektronik untuk Tokopedia,334846,Belanja
grab di Steam,185888,Transport
apotek untuk Grab,390007,Kesehatan
bakso via Gojek,89634,Makan
pulsa via Steam,242794,Belanja
gofood Telkomsel,28872,Makan
cek lab Grab,572429,Kesehatan
seminar untuk Grab,868273,Pendidikan
grab via Alfamart,77503,Transport
pln di Telkomsel,415353,Tagihan
toll di PDAM,139836,Transport
masker di Steam,427495,Kesehatan
nasi goreng via Grab,114457,Makan
voucher game untuk Apotek K24,45781,Hiburan
air via XL,271575,Tagihan
fitness Steam,283104,Kesehatan
concert via Steam,106502,Hiburan
indomaret via PDAM,176533,Belanja
obat di PDAM,56511,Kesehatan
voucher game via XL,322410,Hiburan
pdam untuk Grab,175270,Tagihan
game untuk PDAM,301408,Hiburan
bensin via Steam,194603,Transport
taksol Netflix,147540,Transport
kopi susu di Alfamart,21117,Makan
nasi goreng di Alfamart,97140,Makan
mrt Telkomsel,165535,Transport
concert via Gojek,363956,Hiburan
bioskop di Grab,321973,Hiburan
restoran untuk Tokopedia,79396,Makan
obat untuk Tokopedia,397195,Kesehatan
spotify Telkomsel,240298,Hiburan
buku untuk Telkomsel,554540,Pendidikan
air via PLN,519762,Tagihan
netflix untuk Steam,234953,Hiburan
bpjs untuk Grab,541404,Tagihan
bpjs untuk Telkomsel,294770,Tagihan
alfamart PLN,132936,Belanja
udemy Grab,628405,Pendidikan
dokter via PLN,273628,Kesehatan
voucher game di Shopee,382156,Hiburan
taksol untuk Alfamart,126794,Transport
minimarket Alfamart,450234,Belanja
grabfood Apotek K24,62576,Makan
martabak via PLN,108430,Makan
modul di Grab,743743,Pendidikan
dokter Klinik,366925,Kesehatan
pdam Netflix,545356,Tagihan
baju via Klinik,271164,Belanja
spotify Tokopedia,376303,Hiburan
makan siang di Steam,37691,Makan
voucher game via Tokopedia,273938,Hiburan
bensin untuk Netflix,86492,Transport
sepatu Alfamart,104414,Belanja
workshop Tokopedia,632896,Pendidikan
restoran untuk Gojek,54333,Makan
kafe di XL,361611,Hiburan
kafe via Alfamart,228679,Hiburan
warteg Apotek K24,111329,Makan
vitamin via Tokopedia,36471,Kesehatan
fitness di XL,188187,Kesehatan
grabfood Shopee,22870,Makan
kafe untuk Tokopedia,157673,Hiburan
sertifikasi untuk PDAM,250786,Pendidikan
tagihan via Gojek,157005,Tagihan
kopi susu Steam,45139,Makan
game via PDAM,88104,Hiburan
udemy untuk Shopee,347278,Pendidikan
concert untuk Shopee,276601,Hiburan
gofood Gojek,37743,Makan
minimarket untuk Shopee,41254,Belanja
listrik di Klinik,672908,Tagihan
nasi goreng Steam,60599,Makan
bensin via Indomaret,131097,Transport
bpjs untuk Netflix,189847,Tagihan
pulsa pascabayar untuk Gojek,89470,Tagihan
udemy di Gojek,49879,Pendidikan
concert Netflix,293124,Hiburan
sepatu Indomaret,450428,Belanja
parkir PLN,48048,Transport
restoran via XL,101397,Makan
elektronik untuk Apotek K24,452252,Belanja
mrt via Gojek,193752,Transport
pertalite untuk Indomaret,88472,Transport
minimarket via Shopee,290752,Belanja
taksol untuk Steam,87019,Transport
ojek Alfamart,173040,Transport
toll Telkomsel,181497,Transport
pertalite untuk Steam,178259,Transport
parkir Apotek K24,139574,Transport
topup Steam,43510,Hiburan
pln untuk PDAM,759109,Tagihan
modul di PDAM,738807,Pendidikan
nasi goreng Netflix,82066,Makan
grab di Indomaret,37999,Transport
netflix di Steam,155053,Hiburan
vitamin Telkomsel,129408,Kesehatan
game di Shopee,261017,Hiburan
minimarket Klinik,242676,Belanja
pertalite Netflix,86530,Transport
nongkrong di PLN,73438,Hiburan
bakso Grab,105503,Makan
steam untuk Gojek,191644,Hiburan
minimarket untuk Indomaret,433129,Belanja
cicilan di Netflix,554552,Tagihan
krl untuk XL,21067,Transport
klinik di XL,266538,Kesehatan
modul untuk XL,781116,Pendidikan
baju Steam,91289,Belanja
kelas di Grab,639359,Pendidikan
restoran di Grab,26984,Makan
cicilan via PLN,676375,Tagihan
ojek di Grab,96338,Transport
listrik di Klinik,349391,Tagihan
topup di Steam,69364,Hiburan
spotify di Netflix,17641,Hiburan
gojek Klinik,177012,Transport
sewa di Klinik,272411,Tagihan
kelas di Grab,478103,Pendidikan
buku via Telkomsel,69033,Pendidikan
spotify via XL,225636,Hiburan
rumah sakit XL,53770,Kesehatan
fitness Tokopedia,553670,Kesehatan
workshop untuk Alfamart,338837,Pendidikan
internet Klinik,257053,Tagihan
masker via Steam,69060,Kesehatan
pulsa Telkomsel,32314,Belanja
pulsa pascabayar untuk PDAM,160441,Tagihan
praktek PDAM,790008,Pendidikan
bpjs via Klinik,179541,Tagihan
pulsa pascabayar via Gojek,327255,Tagihan
alat rumah Shopee,314293,Belanja
bpjs Klinik,251676,Tagihan
vitamin via XL,476221,Kesehatan
sewa Gojek,781737,Tagihan
dokter untuk Netflix,584727,Kesehatan
sewa via Klinik,374777,Tagihan
udemy di Klinik,267937,Pendidikan
krl via PLN,88975,Transport
concert untuk Shopee,164945,Hiburan
dicoding untuk Shopee,245094,Pendidikan
voucher game via Klinik,362840,Hiburan
gojek Steam,178718,Transport
modul untuk Telkomsel,740949,Pendidikan
elektronik di PDAM,265818,Belanja
vitamin via Apotek K24,64828,Kesehatan
udemy via Alfamart,520768,Pendidikan
listrik via Indomaret,427186,Tagihan
fitness Grab,265509,Kesehatan
parkir di Klinik,184618,Transport
tokopedia di Indomaret,339128,Belanja
modul via Tokopedia,689675,Pendidikan
sewa di Grab,737958,Tagihan
nasi goreng via Grab,117359,Makan
udemy Steam,260635,Pendidikan
concert Telkomsel,114175,Hiburan
mrt via XL,27923,Transport
cicilan XL,728104,Tagihan
bensin via Shopee,177413,Transport
minimarket untuk Shopee,420332,Belanja
cek lab di Apotek K24,249721,Kesehatan
netflix Tokopedia,29907,Hiburan
sepatu Alfamart,304280,Belanja
concert di Apotek K24,32251,Hiburan
praktek untuk Tokopedia,561891,Pendidikan
kursus untuk Klinik,540304,Pendidikan
workshop Indomaret,122796,Pendidikan
fitness via Netflix,130723,Kesehatan
rumah sakit Apotek K24,157555,Kesehatan
nongkrong Alfamart,60664,Hiburan
warteg via PDAM,66776,Makan
grabfood di Tokopedia,60241,Makan
ayam geprek di Tokopedia,31591,Makan
krl Tokopedia,12876,Transport
grabfood via Alfamart,110112,Makan
bensin di Shopee,91276,Transport
kopi susu di Tokopedia,84299,Makan
grab untuk Klinik,19750,Transport
pdam PLN,546433,Tagihan
alat rumah via XL,139763,Belanja
pln untuk Shopee,404428,Tagihan
pulsa Netflix,333248,Belanja
bpjs di Alfamart,167782,Tagihan
voucher game via Grab,252641,Hiburan
udemy via Alfamart,513089,Pendidikan
modul via Alfamart,485431,Pendidikan
martabak di Alfamart,96575,Makan
cicilan Grab,446895,Tagihan
taksol di XL,120401,Transport
restoran untuk Shopee,90725,Makan
air via Telkomsel,457480,Tagihan
elektronik via Telkomsel,294258,Belanja
obat di Gojek,259810,Kesehatan
mrt di Telkomsel,104532,Transport
restoran di Klinik,97490,Makan
masker di PDAM,556568,Kesehatan
alat rumah untuk Grab,340390,Belanja
dicoding di Tokopedia,655740,Pendidikan
bpjs via Telkomsel,360615,Tagihan
internet untuk PLN,187419,Tagihan
pln via Indomaret,164090,Tagihan
masker XL,581045,Kesehatan
seminar Tokopedia,234939,Pendidikan
shopee Shopee,488577,Belanja
shopee Indomaret,135809,Belanja
pulsa di Shopee,326239,Belanja
masker di XL,349366,Kesehatan
krl Apotek K24,194908,Transport
pulsa di Indomaret,242329,Belanja
makan siang untuk Shopee,67773,Makan
shopee di Netflix,458774,Belanja
buku via XL,272458,Pendidikan
kafe via Shopee,151222,Hiburan
obat via Telkomsel,190626,Kesehatan
sewa Indomaret,734269,Tagihan
alat rumah untuk Apotek K24,324022,Belanja
elektronik via PDAM,388442,Belanja
spotify untuk Netflix,106435,Hiburan
sepatu untuk Grab,377480,Belanja
ojek via Alfamart,132862,Transport
tokopedia untuk Klinik,32450,Belanja
warteg via Apotek K24,49682,Makan
gojek Steam,65144,Transport
martabak untuk PLN,82738,Makan
makan siang di Tokopedia,84844,Makan
kafe untuk PDAM,343214,Hiburan
air di Tokopedia,680635,Tagihan
toll via Klinik,114819,Transport
kopi susu di Indomaret,16000,Makan
sertifikasi Grab,361614,Pendidikan
sertifikasi untuk PLN,354631,Pendidikan
rumah sakit via Apotek K24,446418,Kesehatan
udemy untuk Apotek K24,489045,Pendidikan
dicoding untuk Indomaret,708535,Pendidikan
masker via Grab,282900,Kesehatan
mrt di PDAM,65720,Transport
dicoding Alfamart,651366,Pendidikan
pln Klinik,377602,Tagihan
game via Steam,245374,Hiburan
concert di Gojek,204356,Hiburan
internet Tokopedia,711831,Tagihan
kelas di XL,525423,Pendidikan
taksol Netflix,72411,Transport
gojek untuk Grab,99271,Transport
fitness di XL,559657,Kesehatan
listrik untuk Gojek,297963,Tagihan
seminar untuk PLN,730606,Pendidikan
baju di PDAM,381589,Belanja
grabfood via Alfamart,97791,Makan
kafe untuk Alfamart,67573,Hiburan
sewa via Telkomsel,765931,Tagihan
cek lab via PLN,57242,Kesehatan
baju di Telkomsel,418783,Belanja
gofood via Grab,87843,Makan
pdam untuk Grab,376874,Tagihan
alfamart di Telkomsel,452644,Belanja
pulsa pascabayar Grab,499965,Tagihan
rumah sakit untuk Netflix,324208,Kesehatan
grabfood XL,93631,Makan
dokter untuk Steam,598437,Kesehatan
pln untuk PDAM,323381,Tagihan
krl untuk Gojek,154034,Transport
udemy di Shopee,436311,Pendidikan
kopi susu di Tokopedia,73833,Makan
parkir di Alfamart,64883,Transport
parkir via PLN,31998,Transport
elektronik Steam,140264,Belanja
gofood Netflix,90773,Makan
air Apotek K24,663245,Tagihan
spotify Shopee,299898,Hiburan
spotify di PLN,205436,Hiburan
netflix Gojek,62624,Hiburan
alat rumah via Apotek K24,74127,Belanja
udemy untuk Indomaret,577798,Pendidikan
bakso di Apotek K24,62652,Makan
restoran untuk Shopee,33067,Makan
voucher game via Gojek,252917,Hiburan
grabfood via Tokopedia,107602,Makan
bpjs di Gojek,272018,Tagihan
toll Steam,115292,Transport
baju Shopee,331889,Belanja
internet untuk PLN,65619,Tagihan
udemy Indomaret,341678,Pendidikan
air via Klinik,179104,Tagihan
restoran untuk Indomaret,23227,Makan
klinik untuk Telkomsel,282073,Kesehatan
warteg untuk PDAM,118582,Makan
gofood untuk Klinik,27695,Makan
obat untuk Alfamart,269986,Kesehatan
fitness via Klinik,455219,Kesehatan
toll via PLN,142483,Transport
fitness via Apotek K24,98794,Kesehatan
shopee untuk Alfamart,451883,Belanja
dicoding untuk PDAM,817770,Pendidikan
kelas di Telkomsel,282655,Pendidikan
gofood untuk PDAM,93675,Makan
apotek untuk Grab,426422,Kesehatan
toll via Shopee,40719,Transport
alat rumah untuk Gojek,212916,Belanja
game via Gojek,166382,Hiburan
minimarket via XL,121857,Belanja
praktek Grab,452603,Pendidikan
fitness Alfamart,197253,Kesehatan
listrik via Klinik,325174,Tagihan
internet Telkomsel,139291,Tagihan
martabak di Telkomsel,62893,Makan
sepatu di Tokopedia,220173,Belanja
cek lab via Apotek K24,236108,Kesehatan
concert via Netflix,167058,Hiburan
grab via XL,185044,Transport
mrt via PLN,117360,Transport
baju di Apotek K24,393354,Belanja
ojek di PLN,86921,Transport
modul via Netflix,282361,Pendidikan
fitness di XL,112307,Kesehatan
sepatu via Shopee,353123,Belanja
cicilan di Apotek K24,748798,Tagihan
spotify di Gojek,53160,Hiburan
voucher game di PLN,183309,Hiburan
fitness Indomaret,573650,Kesehatan
gofood via Steam,63400,Makan
alfamart untuk Apotek K24,243042,Belanja
air di Apotek K24,125811,Tagihan
krl di Apotek K24,144977,Transport
sewa XL,587783,Tagihan
praktek untuk Apotek K24,192579,Pendidikan
voucher game Klinik,111176,Hiburan
sertifikasi Apotek K24,689082,Pendidikan
bpjs Steam,612592,Tagihan
restoran via Indomaret,116592,Makan
gofood PLN,49056,Makan
grabfood di Apotek K24,86643,Makan
tokopedia Klinik,324302,Belanja
rumah sakit di Shopee,309356,Kesehatan
kelas untuk Klinik,664521,Pendidikan
bakso untuk PLN,75122,Makan
makan siang untuk Tokopedia,41860,Makan
fitness di Telkomsel,366357,Kesehatan
rumah sakit untuk Tokopedia,269160,Kesehatan
spotify Alfamart,30394,Hiburan
bakso di Netflix,30716,Makan
ojek via Grab,44218,Transport
sepatu via Grab,114945,Belanja
rumah sakit di Alfamart,441953,Kesehatan
air via PDAM,778478,Tagihan
steam untuk Steam,109717,Hiburan
baju via PLN,454505,Belanja
modul via Shopee,507751,Pendidikan
apotek via Shopee,562638,Kesehatan
listrik Apotek K24,337282,Tagihan
bakso via Steam,87740,Makan
grab di Tokopedia,168904,Transport
suplemen untuk Apotek K24,17912,Kesehatan
minimarket di Netflix,128887,Belanja
cek lab di PDAM,180619,Kesehatan
bensin di Tokopedia,103256,Transport
air untuk Alfamart,173531,Tagihan
cicilan di Klinik,680978,Tagihan
pulsa XL,390297,Belanja
sewa Tokopedia,93857,Tagihan
ojek via Tokopedia,98286,Transport
ayam geprek untuk Gojek,68919,Makan
cicilan di XL,533403,Tagihan
krl untuk Telkomsel,43294,Transport
toll untuk Netflix,87731,Transport
makan siang di PDAM,77349,Makan
pln via PDAM,799535,Tagihan
toll di Klinik,144283,Transport
nongkrong untuk Tokopedia,38427,Hiburan
pln via Gojek,348240,Tagihan
pulsa pascabayar via PLN,277120,Tagihan
masker di Alfamart,261355,Kesehatan
restoran via Alfamart,112987,Makan
minimarket via Gojek,199802,Belanja
shopee untuk PDAM,362553,Belanja
elektronik untuk Apotek K24,305438,Belanja
makan siang Steam,71747,Makan
topup PLN,23378,Hiburan
kelas XL,410020,Pendidikan
gojek di Gojek,123108,Transport
grab untuk Gojek,43063,Transport
kopi susu di Gojek,111327,Makan
kelas untuk Grab,803742,Pendidikan
suplemen untuk Steam,88231,Kesehatan
alat rumah di PLN,492663,Belanja
dokter Alfamart,487289,Kesehatan
vitamin di Apotek K24,443596,Kesehatan
apotek untuk Netflix,45020,Kesehatan
kopi susu Gojek,46357,Makan
workshop untuk Telkomsel,493038,Pendidikan
listrik Indomaret,306498,Tagihan
kelas untuk Klinik,725786,Pendidikan
gojek di Apotek K24,54878,Transport
steam Netflix,215229,Hiburan
fitness di Klinik,308289,Kesehatan
kafe di PLN,105857,Hiburan
minimarket di Indomaret,102147,Belanja
concert Steam,213803,Hiburan
steam di XL,284871,Hiburan
concert via Telkomsel,121552,Hiburan
warteg Alfamart,90084,Makan
parkir di Netflix,89445,Transport
pertalite di Klinik,124177,Transport
sewa di Apotek K24,675989,Tagihan
cek lab di Indomaret,529200,Kesehatan
kafe Alfamart,326018,Hiburan
toll di Apotek K24,64381,Transport
apotek Gojek,454153,Kesehatan
kafe untuk Shopee,368376,Hiburan
netflix Apotek K24,379328,Hiburan
minimarket di Netflix,340162,Belanja
nasi goreng via Grab,70095,Makan
nongkrong di Alfamart,173229,Hiburan
pulsa untuk Apotek K24,268942,Belanja
game di Alfamart,75341,Hiburan
taksol via Telkomsel,17574,Transport
toll via Shopee,144296,Transport
warteg di Shopee,64467,Makan
elektronik Gojek,386258,Belanja
spotify untuk Apotek K24,152998,Hiburan
obat di Indomaret,123572,Kesehatan
dicoding untuk Tokopedia,620697,Pendidikan
concert untuk Alfamart,69076,Hiburan
vitamin via Netflix,209073,Kesehatan
internet via Indomaret,731578,Tagihan
pln untuk Grab,110212,Tagihan
bakso Grab,60634,Makan
cek lab via Netflix,399176,Kesehatan
sepatu di Steam,470443,Belanja
bensin untuk PDAM,10984,Transport
alat rumah untuk Gojek,303997,Belanja
netflix di PLN,312031,Hiburan
bensin untuk Steam,5606,Transport
pdam di PDAM,263969,Tagihan
rumah sakit untuk Klinik,540858,Kesehatan
bioskop via Steam,228573,Hiburan
air di Klinik,386731,Tagihan
alat rumah di Steam,57306,Belanja
dicoding di Alfamart,651462,Pendidikan
ojek via PDAM,144624,Transport
sepatu via PDAM,90958,Belanja
grab via Telkomsel,194915,Transport
minimarket via Tokopedia,261064,Belanja
praktek untuk Netflix,290152,Pendidikan
apotek di Apotek K24,245643,Kesehatan
workshop di Telkomsel,538945,Pendidikan
sertifikasi via Grab,511051,Pendidikan
nasi goreng untuk Gojek,46838,Makan
voucher game untuk Steam,28864,Hiburan
suplemen via Alfamart,79959,Kesehatan
grabfood untuk Netflix,69890,Makan
gofood di Steam,89543,Makan
udemy via Telkomsel,430311,Pendidikan
masker di XL,100750,Kesehatan
cicilan untuk Steam,220503,Tagihan
internet Shopee,370464,Tagihan
air untuk Steam,571719,Tagihan
fitness untuk PDAM,228682,Kesehatan
pulsa pascabayar Shopee,657117,Tagihan
makan siang PLN,87904,Makan
rumah sakit via Netflix,404541,Kesehatan
